group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Foundations,Session 1,2023-08-21,2023-08-25,"Truth, beauty, and data + R and tidyverse",,,content/01-content,lesson/01-lesson,example/01-example,,
Foundations,,2023-08-28,,Assignment for session 1 due,,11:59 PM,,,,assignment/01-exercise,
Foundations,Session 2,2023-08-28,2023-09-01,Graphic design,,,content/02-content,lesson/02-lesson,example/02-example,,
Foundations,,2023-09-04,,Assignment for session 2 due,,11:59 PM,,,,assignment/02-exercise,
Foundations,Session 3,2023-09-04,2023-09-08,Mapping data to graphics,,,content/03-content,lesson/03-lesson,example/03-example,,
Core types of graphics,,2023-09-11,,Assignment for session 3 due,,11:59 PM,,,,assignment/03-exercise,
Core types of graphics,Session 4,2023-09-11,2023-09-15,Amounts and proportions,,,content/04-content,lesson/04-lesson,example/04-example,,
Core types of graphics,,2023-09-18,,Assignment for session 4 due,,11:59 PM,,,,assignment/04-exercise,
Core types of graphics,Session 5,2023-09-18,2023-09-22,Themes,,,content/05-content,lesson/05-lesson,example/05-example,,
Core types of graphics,,2023-09-25,,Assignment for session 5 due,,11:59 PM,,,,assignment/05-exercise,
Core types of graphics,Session 6,2023-09-25,2023-09-29,Uncertainty,,,content/06-content,lesson/06-lesson,example/06-example,,
Core types of graphics,,2023-10-02,,Assignment for session 6 due,,11:59 PM,,,,assignment/06-exercise,
Core types of graphics,Session 7,2023-10-02,2023-10-06,Relationships,,,content/07-content,lesson/07-lesson,example/07-example,,
Core types of graphics,,2023-10-09,,Assignment for session 7 due,,11:59 PM,,,,assignment/07-exercise,
Core types of graphics,Session 8,2023-10-09,2023-10-13,Comparisons,,,content/08-content,lesson/08-lesson,example/08-example,,
Core types of graphics,,2023-10-16,,Assignment for session 8 due,,11:59 PM,,,,assignment/08-exercise,
Core types of graphics,,2023-10-16,,Mini project 1 due,TRUE,11:59 PM,,,,assignment/01-mini-project,
Special applications,Session 9,2023-10-16,2023-10-20,Annotations,,,content/09-content,lesson/09-lesson,example/09-example,,
Special applications,,2023-10-23,,Assignment for session 9 due,,11:59 PM,,,,assignment/09-exercise,
Special applications,Session 10,2023-10-23,2023-10-27,Interactivity,,,content/09-content,lesson/10-lesson,example/10-example,,
Special applications,,2023-10-30,,Assignment for session 10 due,,11:59 PM,,,,assignment/10-exercise,
Special applications,Session 11,2023-10-30,2023-11-03,Time,,,content/11-content,lesson/11-lesson,example/11-example,,
Special applications,,2023-11-06,,Assignment for session 11 due,,11:59 PM,,,,assignment/11-exercise,
Special applications,Session 12,2023-11-06,2023-11-10,Space,,,content/12-content,lesson/12-lesson,example/12-example,,
Special applications,,2023-11-13,,Assignment for session 12 due,,11:59 PM,,,,assignment/12-exercise,
Special applications,,2023-11-13,,Mini project 2 due,TRUE,11:59 PM,,,,assignment/02-mini-project,
Special applications,Session 13,2023-11-13,2023-11-17,Text,,,content/13-content,lesson/13-lesson,example/13-example,,
Special applications,,2023-11-27,,Assignment for session 13 due,,11:59 PM,,,,assignment/13-exercise,
Special applications,Session 14,2023-11-27,2023-12-01,Enhancing graphics,,,content/14-content,lesson/14-lesson,example/14-example,,
Special applications,,2023-12-04,,Assignment for session 14 due,,11:59 PM,,,,assignment/14-exercise,
Conclusions,Session 15,2023-12-04,2023-12-04,"Truth, beauty, and data revisited",,,content/15-content,lesson/15-lesson,example/15-example,,
Conclusions,,2023-12-05,,Assignment for session 15 due,,11:59 PM,,,,assignment/15-exercise,
Conclusions,,2023-12-11,,Final project due,TRUE,11:59 PM,,,,assignment/final-project,
